Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_deg,boom_to_arm_deg,arm_to_bucket_deg,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
135,-0.139568,-0.164642,0.20558,-7.99668,-9.43329,11.7789,0.0118506,0.02,-0.0122997,13.5
136,-0.138383,-0.162642,0.20435,-7.92878,-9.3187,11.7084,0.0118506,0.02,-0.0122997,13.6
137,-0.137198,-0.160642,0.20312,-7.86088,-9.20411,11.6379,0.0118506,0.02,-0.0122997,13.7
138,-0.136013,-0.158642,0.20189,-7.79298,-9.08952,11.5674,0.0118506,0.02,-0.0122997,13.8
139,-0.134828,-0.156642,0.20066,-7.72508,-8.97493,11.497,0.0118506,0.02,-0.0122997,13.9
140,-0.133643,-0.154642,0.19943,-7.65718,-8.86033,11.4265,0.0118506,0.02,-0.0122997,14
141,-0.132458,-0.152642,0.1982,-7.58928,-8.74574,11.356,0.0118506,0.02,-0.0122997,14.1
142,-0.131273,-0.150642,0.19697,-7.52139,-8.63115,11.2856,0.0118506,0.02,-0.0122997,14.2
143,-0.130088,-0.148642,0.19574,-7.45349,-8.51656,11.2151,0.0118506,0.02,-0.0122997,14.3
144,-0.128903,-0.146642,0.19451,-7.38559,-8.40197,11.1446,0.0118506,0.02,-0.0122997,14.4
145,-0.127718,-0.144642,0.19328,-7.31769,-8.28738,11.0741,0.0118506,0.02,-0.0122997,14.5
146,-0.126533,-0.142642,0.19205,-7.24979,-8.17278,11.0037,0.0118506,0.02,-0.0122997,14.6
147,-0.125348,-0.140642,0.19082,-7.18189,-8.05819,10.9332,0.0118506,0.02,-0.0122997,14.7
148,-0.124163,-0.138642,0.18959,-7.11399,-7.9436,10.8627,0.0118506,0.02,-0.0122997,14.8
149,-0.122978,-0.136642,0.18836,-7.04609,-7.82901,10.7922,0.0118506,0.02,-0.0122997,14.9
150,-0.121792,-0.134642,0.18713,-6.97819,-7.71442,10.7218,0.0118506,0.02,-0.0122997,15
151,-0.120607,-0.132642,0.1859,-6.91029,-7.59983,10.6513,0.0118506,0.02,-0.0122997,15.1
152,-0.119422,-0.130642,0.18467,-6.8424,-7.48524,10.5808,0.0118506,0.02,-0.0122997,15.2
153,-0.118237,-0.128642,0.18344,-6.7745,-7.37064,10.5104,0.0118506,0.02,-0.0122997,15.3
154,-0.117052,-0.126642,0.18221,-6.7066,-7.25605,10.4399,0.0118506,0.02,-0.0122997,15.4
155,-0.115867,-0.124642,0.18098,-6.6387,-7.14146,10.3694,0.0118506,0.02,-0.0122997,15.5
156,-0.114682,-0.122642,0.17975,-6.5708,-7.02687,10.2989,0.0118506,0.02,-0.0122997,15.6
157,-0.113497,-0.120642,0.17852,-6.5029,-6.91228,10.2285,0.0118506,0.02,-0.0122997,15.7
158,-0.112312,-0.118642,0.17729,-6.435,-6.79769,10.158,0.0118506,0.02,-0.0122997,15.8
159,-0.111127,-0.116642,0.17606,-6.3671,-6.68309,10.0875,0.0118506,0.02,-0.0122997,15.9
160,-0.109942,-0.114642,0.174831,-6.2992,-6.5685,10.0171,0.0118506,0.02,-0.0122997,16
161,-0.108757,-0.112642,0.173601,-6.23131,-6.45391,9.94658,0.0118506,0.02,-0.0122997,16.1
162,-0.107572,-0.110642,0.172371,-6.16341,-6.33932,9.87611,0.0118506,0.02,-0.0122997,16.2
163,-0.106387,-0.108642,0.171141,-6.09551,-6.22473,9.80563,0.0118506,0.02,-0.0122997,16.3
164,-0.105202,-0.106642,0.169911,-6.02761,-6.11014,9.73516,0.0118506,0.02,-0.0122997,16.4
165,-0.104017,-0.104642,0.168681,-5.95971,-5.99554,9.66469,0.0118506,0.02,-0.0122997,16.5
166,-0.102831,-0.102642,0.167451,-5.89181,-5.88095,9.59422,0.0118506,0.02,-0.0122997,16.6
167,-0.101646,-0.100642,0.166221,-5.82391,-5.76636,9.52375,0.0118506,0.02,-0.0122997,16.7
168,-0.100461,-0.098642,0.164991,-5.75601,-5.65177,9.45327,0.0118506,0.02,-0.0122997,16.8
169,-0.0992763,-0.096642,0.163761,-5.68811,-5.53718,9.3828,0.0118506,0.02,-0.0122997,16.9
170,-0.0980913,-0.094642,0.162531,-5.62021,-5.42259,9.31233,0.0118506,0.02,-0.0122997,17
171,-0.0969062,-0.092642,0.161301,-5.55232,-5.308,9.24186,0.0118506,0.02,-0.0122997,17.1
172,-0.0957211,-0.090642,0.160071,-5.48442,-5.1934,9.17138,0.0118506,0.02,-0.0122997,17.2
173,-0.0945361,-0.088642,0.158841,-5.41652,-5.07881,9.10091,0.0118506,0.02,-0.0122997,17.3
174,-0.093351,-0.086642,0.157611,-5.34862,-4.96422,9.03044,0.0118506,0.02,-0.0122997,17.4
175,-0.092166,-0.084642,0.156381,-5.28072,-4.84963,8.95997,0.0118506,0.02,-0.0122997,17.5
176,-0.0909809,-0.082642,0.155151,-5.21282,-4.73504,8.8895,0.0118506,0.02,-0.0122997,17.6
177,-0.0897958,-0.080642,0.153921,-5.14492,-4.62045,8.81902,0.0118506,0.02,-0.0122997,17.7
178,-0.0886108,-0.078642,0.152691,-5.07702,-4.50585,8.74855,0.0118506,0.02,-0.0122997,17.8
179,-0.0874257,-0.076642,0.151461,-5.00912,-4.39126,8.67808,0.0118506,0.02,-0.0122997,17.9
180,-0.0862407,-0.074642,0.150231,-4.94123,-4.27667,8.60761,0.0118506,0.02,-0.0122997,18
181,-0.0850556,-0.072642,0.149001,-4.87333,-4.16208,8.53714,0.0118506,0.02,-0.0122997,18.1
182,-0.0838705,-0.070642,0.147771,-4.80543,-4.04749,8.46666,0.0118506,0.02,-0.0122997,18.2
183,-0.0826855,-0.068642,0.146541,-4.73753,-3.9329,8.39619,0.0118506,0.02,-0.0122997,18.3
184,-0.0815004,-0.066642,0.145311,-4.66963,-3.81831,8.32572,0.0118506,0.02,-0.0122997,18.4
185,-0.0803153,-0.064642,0.144081,-4.60173,-3.70371,8.25525,0.0118506,0.02,-0.0122997,18.5
186,-0.0791303,-0.062642,0.142851,-4.53383,-3.58912,8.18477,0.0118506,0.02,-0.0122997,18.6
187,-0.0779452,-0.060642,0.141621,-4.46593,-3.47453,8.1143,0.0118506,0.02,-0.0122997,18.7
188,-0.0767602,-0.058642,0.140391,-4.39803,-3.35994,8.04383,0.0118506,0.02,-0.0122997,18.8
189,-0.0755751,-0.056642,0.139161,-4.33013,-3.24535,7.97336,0.0118506,0.02,-0.0122997,18.9
190,-0.07439,-0.054642,0.137931,-4.26224,-3.13076,7.90289,0.0118506,0.02,-0.0122997,19
191,-0.073205,-0.052642,0.136701,-4.19434,-3.01616,7.83241,0.0118506,0.02,-0.0122997,19.1
192,-0.0720199,-0.050642,0.135471,-4.12644,-2.90157,7.76194,0.0118506,0.02,-0.0122997,19.2
193,-0.0708349,-0.048642,0.134241,-4.05854,-2.78698,7.69147,0.0118506,0.02,-0.0122997,19.3
194,-0.0696498,-0.046642,0.133011,-3.99064,-2.67239,7.621,0.0118506,0.02,-0.0122997,19.4
195,-0.0684647,-0.044642,0.131782,-3.92274,-2.5578,7.55052,0.0118506,0.02,-0.0122997,19.5
196,-0.0672797,-0.042642,0.130552,-3.85484,-2.44321,7.48005,0.0118506,0.02,-0.0122997,19.6
197,-0.0660946,-0.040642,0.129322,-3.78694,-2.32862,7.40958,0.0118506,0.02,-0.0122997,19.7
198,-0.0649096,-0.038642,0.128092,-3.71904,-2.21402,7.33911,0.0118506,0.02,-0.0122997,19.8
199,-0.0637245,-0.036642,0.126862,-3.65115,-2.09943,7.26864,0.0118506,0.02,-0.0122997,19.9
200,-0.0625394,-0.034642,0.125632,-3.58325,-1.98484,7.19816,0.0118506,0.02,-0.0122997,20
201,-0.0613544,-0.032642,0.124402,-3.51535,-1.87025,7.12769,0.0118506,0.02,-0.0122997,20.1
202,-0.0601693,-0.030642,0.123172,-3.44745,-1.75566,7.05722,0.0118506,0.02,-0.0122997,20.2
203,-0.0589843,-0.028642,0.121942,-3.37955,-1.64107,6.98675,0.0118506,0.02,-0.0122997,20.3
204,-0.0577992,-0.026642,0.120712,-3.31165,-1.52647,6.91627,0.0118506,0.02,-0.0122997,20.4
205,-0.0566141,-0.024642,0.119482,-3.24375,-1.41188,6.8458,0.0118506,0.02,-0.0122997,20.5
206,-0.0554291,-0.022642,0.118252,-3.17585,-1.29729,6.77533,0.0118506,0.02,-0.0122997,20.6
207,-0.054244,-0.020642,0.117022,-3.10795,-1.1827,6.70486,0.0118506,0.02,-0.0122997,20.7
208,-0.053059,-0.018642,0.115792,-3.04005,-1.06811,6.63439,0.0118506,0.02,-0.0122997,20.8
209,-0.0518739,-0.016642,0.114562,-2.97216,-0.953516,6.56391,0.0118506,0.02,-0.0122997,20.9
210,-0.0506888,-0.014642,0.113332,-2.90426,-0.838925,6.49344,0.0118506,0.02,-0.0122997,21
211,-0.0495038,-0.012642,0.112102,-2.83636,-0.724333,6.42297,0.0118506,0.02,-0.0122997,21.1
212,-0.0483187,-0.010642,0.110872,-2.76846,-0.609742,6.3525,0.0118506,0.02,-0.0122997,21.2
213,-0.0471337,-0.008642,0.109642,-2.70056,-0.49515,6.28203,0.0118506,0.02,-0.0122997,21.3
214,-0.0459486,-0.006642,0.108412,-2.63266,-0.380559,6.21155,0.0118506,0.02,-0.0122997,21.4
215,-0.0447635,-0.004642,0.107182,-2.56476,-0.265967,6.14108,0.0118506,0.02,-0.0122997,21.5
216,-0.0435785,-0.002642,0.105952,-2.49686,-0.151375,6.07061,0.0118506,0.02,-0.0122997,21.6
217,-0.0423934,-0.000642,0.104722,-2.42896,-0.0367839,6.00014,0.0118506,0.02,-0.0122997,21.7
218,-0.0412084,0.001358,0.103492,-2.36107,0.0778077,5.92966,0.0118506,0.02,-0.0122997,21.8
219,-0.0400233,0.003358,0.102262,-2.29317,0.192399,5.85919,0.0118506,0.02,-0.0122997,21.9
220,-0.0388382,0.005358,0.101032,-2.22527,0.306991,5.78872,0.0118506,0.02,-0.0122997,22
221,-0.0376532,0.007358,0.0998022,-2.15737,0.421582,5.71825,0.0118506,0.02,-0.0122997,22.1
222,-0.0364681,0.009358,0.0985723,-2.08947,0.536174,5.64778,0.0118506,0.02,-0.0122997,22.2
223,-0.0352831,0.011358,0.0973423,-2.02157,0.650765,5.5773,0.0118506,0.02,-0.0122997,22.3
224,-0.034098,0.013358,0.0961123,-1.95367,0.765357,5.50683,0.0118506,0.02,-0.0122997,22.4
225,-0.0329129,0.015358,0.0948824,-1.88577,0.879949,5.43636,0.0118506,0.02,-0.0122997,22.5
226,-0.0317279,0.017358,0.0936524,-1.81787,0.99454,5.36589,0.0118506,0.02,-0.0122997,22.6
227,-0.0305428,0.019358,0.0924224,-1.74997,1.10913,5.29541,0.0118506,0.02,-0.0122997,22.7
228,-0.0293578,0.021358,0.0911924,-1.68208,1.22372,5.22494,0.0118506,0.02,-0.0122997,22.8
229,-0.0281727,0.023358,0.0899625,-1.61418,1.33831,5.15447,0.0118506,0.02,-0.0122997,22.9
230,-0.0269876,0.025358,0.0887325,-1.54628,1.45291,5.084,0.0118506,0.02,-0.0122997,23
231,-0.0258026,0.027358,0.0875025,-1.47838,1.5675,5.01353,0.0118506,0.02,-0.0122997,23.1
232,-0.0246175,0.029358,0.0862726,-1.41048,1.68209,4.94305,0.0118506,0.02,-0.0122997,23.2
233,-0.0234325,0.031358,0.0850426,-1.34258,1.79668,4.87258,0.0118506,0.02,-0.0122997,23.3
234,-0.0222474,0.033358,0.0838126,-1.27468,1.91127,4.80211,0.0118506,0.02,-0.0122997,23.4
235,-0.0210623,0.035358,0.0825826,-1.20678,2.02586,4.73164,0.0118506,0.02,-0.0122997,23.5
236,-0.0198773,0.037358,0.0813527,-1.13888,2.14046,4.66116,0.0118506,0.02,-0.0122997,23.6
237,-0.0186922,0.039358,0.0801227,-1.07098,2.25505,4.59069,0.0118506,0.02,-0.0122997,23.7
