Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
202,0.101326,-0.313588,-0.0431402,0.00261304,0.00276204,-0.04,20.2
203,0.101588,-0.313312,-0.0471402,0.00261304,0.00276204,-0.04,20.3
204,0.101849,-0.313035,-0.0511402,0.00261304,0.00276204,-0.04,20.4
205,0.10211,-0.312759,-0.0551402,0.00261304,0.00276204,-0.04,20.5
206,0.102371,-0.312483,-0.0591402,0.00261304,0.00276204,-0.04,20.6
207,0.102633,-0.312207,-0.0631402,0.00261304,0.00276204,-0.04,20.7
208,0.102894,-0.311931,-0.0671402,0.00261304,0.00276204,-0.04,20.8
209,0.103155,-0.311654,-0.0711402,0.00261304,0.00276204,-0.04,20.9
210,0.103417,-0.311378,-0.0751402,0.00261304,0.00276204,-0.04,21
211,0.103678,-0.311102,-0.0791402,0.00261304,0.00276204,-0.04,21.1
212,0.103939,-0.310826,-0.0831402,0.00261304,0.00276204,-0.04,21.2
213,0.104201,-0.31055,-0.0871402,0.00261304,0.00276204,-0.04,21.3
214,0.104462,-0.310273,-0.0911402,0.00261304,0.00276204,-0.04,21.4
215,0.104723,-0.309997,-0.0951402,0.00261304,0.00276204,-0.04,21.5
216,0.104984,-0.309721,-0.0991402,0.00261304,0.00276204,-0.04,21.6
217,0.105246,-0.309445,-0.10314,0.00261304,0.00276204,-0.04,21.7
218,0.105507,-0.309169,-0.10714,0.00261304,0.00276204,-0.04,21.8
219,0.105768,-0.308892,-0.11114,0.00261304,0.00276204,-0.04,21.9
220,0.10603,-0.308616,-0.11514,0.00261304,0.00276204,-0.04,22
221,0.106291,-0.30834,-0.11914,0.00261304,0.00276204,-0.04,22.1
222,0.106552,-0.308064,-0.12314,0.00261304,0.00276204,-0.04,22.2
223,0.106814,-0.307788,-0.12714,0.00261304,0.00276204,-0.04,22.3
224,0.107075,-0.307511,-0.13114,0.00261304,0.00276204,-0.04,22.4
225,0.107336,-0.307235,-0.13514,0.00261304,0.00276204,-0.04,22.5
226,0.107598,-0.306959,-0.13914,0.00261304,0.00276204,-0.04,22.6
227,0.107859,-0.306683,-0.14314,0.00261304,0.00276204,-0.04,22.7
228,0.10812,-0.306407,-0.14714,0.00261304,0.00276204,-0.04,22.8
229,0.108381,-0.30613,-0.15114,0.00261304,0.00276204,-0.04,22.9
230,0.108643,-0.305854,-0.15514,0.00261304,0.00276204,-0.04,23
231,0.108904,-0.305578,-0.15914,0.00261304,0.00276204,-0.04,23.1
232,0.109165,-0.305302,-0.16314,0.00261304,0.00276204,-0.04,23.2
233,0.109427,-0.305026,-0.16714,0.00261304,0.00276204,-0.04,23.3
234,0.109688,-0.304749,-0.17114,0.00261304,0.00276204,-0.04,23.4
235,0.109949,-0.304473,-0.17514,0.00261304,0.00276204,-0.04,23.5
236,0.110211,-0.304197,-0.17914,0.00261304,0.00276204,-0.04,23.6
237,0.110472,-0.303921,-0.18314,0.00261304,0.00276204,-0.04,23.7
238,0.110733,-0.303645,-0.18714,0.00261304,0.00276204,-0.04,23.8
239,0.110994,-0.303368,-0.19114,0.00261304,0.00276204,-0.04,23.9
240,0.111256,-0.303092,-0.19514,0.00261304,0.00276204,-0.04,24
241,0.111517,-0.302816,-0.19914,0.00261304,0.00276204,-0.04,24.1
242,0.111778,-0.30254,-0.20314,0.00261304,0.00276204,-0.04,24.2
243,0.11204,-0.302263,-0.20714,0.00261304,0.00276204,-0.04,24.3
244,0.112301,-0.301987,-0.21114,0.00261304,0.00276204,-0.04,24.4
245,0.112562,-0.301711,-0.21514,0.00261304,0.00276204,-0.04,24.5
246,0.112824,-0.301435,-0.21914,0.00261304,0.00276204,-0.04,24.6
247,0.113085,-0.301159,-0.22314,0.00261304,0.00276204,-0.04,24.7
248,0.113346,-0.300882,-0.22714,0.00261304,0.00276204,-0.04,24.8
249,0.113608,-0.300606,-0.23114,0.00261304,0.00276204,-0.04,24.9
250,0.113869,-0.30033,-0.23514,0.00261304,0.00276204,-0.04,25
251,0.11413,-0.300054,-0.23914,0.00261304,0.00276204,-0.04,25.1
252,0.114391,-0.299778,-0.24314,0.00261304,0.00276204,-0.04,25.2
